11,0
11,1
12,0
12,1
12,2
12,3
46,0
46,1
46,2
46,3
46,4
46,5
46,6
46,7
66,0
66,1
78,0
79,0
79,1
79,2
79,3
79,4
81,0
81,1
81,2
81,3
84,0
84,1
84,2
85,0
85,1
85,2
85,3
116,0
122,0
139,0
139,1
141,0
141,1
141,2
142,0
142,1
143,0
143,1
144,0
153,0
153,1
153,2
153,3
161,0
167,0
167,1
167,2
176,0
176,1
195,0
195,1
203,0
203,1
216,0
216,1
216,2
216,3
221,0
221,1
221,2
221,3
225,0
225,1
225,2
228,0
228,1
228,2
271,0
271,1
271,2
271,3
273,0
273,1
283,0
283,1
283,2
283,3
288,0
297,0
327,0
327,1
327,2
327,3
349,0
349,1
349,2
352,0
377,0
382,0
382,1
382,2
382,3
382,4
382,5
382,6
382,7
382,8
382,9
382,10
382,11
382,12
382,13
382,14
382,15
382,16
382,17
382,18
382,19
388,0
388,1
389,0
